Record Date,Debt Category,Debt Category Description,Closing Balance Today,Opening Balance Today,Opening Balance This Month,Opening Balance This Fiscal Year,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-06-27,Intragovernmental Holdings,null,6904933,6893803,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,27
2023-06-27,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,27
2023-06-27,Debt Not Subject to Limit,Unamortized Discount (-),80360,79395,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,27
2023-06-27,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,27
2023-06-27,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,27
2023-06-27,Statutory Debt Limit,null,0,0,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,27
2023-06-26,Debt Held by the Public,null,25301525,25300770,24630686,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,06,26
2023-06-26,Intragovernmental Holdings,null,6893803,6871806,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,26
2023-06-26,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,26
2023-06-26,Debt Not Subject to Limit,Unamortized Discount (-),79395,81192,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,26
2023-06-26,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,26
2023-06-26,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,26
2023-06-26,Statutory Debt Limit,null,0,0,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,26
2023-06-23,Debt Held by the Public,null,25300770,25300473,24630686,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,06,23
2023-06-23,Intragovernmental Holdings,null,6871806,6868177,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,23
2023-06-23,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,23
2023-06-23,Debt Not Subject to Limit,Unamortized Discount (-),81192,81791,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,23
2023-06-23,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,23
2023-06-23,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,23
2023-06-23,Statutory Debt Limit,null,0,0,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,23
2023-06-22,Debt Held by the Public,null,25300473,25229448,24630686,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,06,22
2023-06-22,Intragovernmental Holdings,null,6868177,6866294,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,22
2023-06-22,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,22
2023-06-22,Debt Not Subject to Limit,Unamortized Discount (-),81791,79674,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,22
2023-06-22,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,22
2023-06-22,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,22
2023-06-22,Statutory Debt Limit,null,0,0,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,22
2023-06-21,Debt Held by the Public,null,25229448,25228859,24630686,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,06,21
2023-06-21,Intragovernmental Holdings,null,6866294,6876344,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,21
2023-06-21,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,21
2023-06-21,Debt Not Subject to Limit,Unamortized Discount (-),79674,80262,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,21
2023-06-21,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,21
2023-06-21,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,21
2023-06-21,Statutory Debt Limit,null,0,0,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,21
2023-06-20,Debt Held by the Public,null,25228859,25178190,24630686,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,06,20
2023-06-20,Intragovernmental Holdings,null,6876344,6866158,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,20
2023-06-20,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,20
2023-06-20,Debt Not Subject to Limit,Unamortized Discount (-),80262,81093,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,20
2023-06-20,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,20
2023-06-20,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,20
2023-06-20,Statutory Debt Limit,null,0,0,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,20
2023-06-16,Debt Held by the Public,null,25178190,25178341,24630686,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,06,16
2023-06-16,Intragovernmental Holdings,null,6866158,6860904,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,16
2023-06-16,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,16
2023-06-16,Debt Not Subject to Limit,Unamortized Discount (-),81093,81674,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,16
2023-06-16,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,16
2023-06-16,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,16
2023-06-16,Statutory Debt Limit,null,0,0,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,16
2023-06-15,Statutory Debt Limit,null,0,0,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,15
2023-06-15,Debt Held by the Public,null,25178341,25102753,24630686,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,06,15
2023-06-15,Intragovernmental Holdings,null,6860904,6851694,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,15
2023-06-15,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,15
2023-06-15,Debt Not Subject to Limit,Unamortized Discount (-),81674,77479,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,15
2023-06-15,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,15
2023-06-15,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,15
2023-06-14,Debt Held by the Public,null,25102753,25103112,24630686,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,06,14
2023-06-14,Intragovernmental Holdings,null,6851694,6872182,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,14
2023-06-14,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,14
2023-06-14,Debt Not Subject to Limit,Unamortized Discount (-),77479,78052,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,14
2023-06-14,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,14
2023-06-14,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,14
2023-06-14,Statutory Debt Limit,null,0,0,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,14
2023-06-13,Debt Held by the Public,null,25103112,25068366,24630686,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,06,13
2023-06-13,Intragovernmental Holdings,null,6872182,6857918,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,13
2023-06-13,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,13
2023-06-13,Debt Not Subject to Limit,Unamortized Discount (-),78052,77174,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,13
2023-06-13,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,13
2023-06-13,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,13
2023-06-13,Statutory Debt Limit,null,0,0,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,13
2023-06-12,Debt Held by the Public,null,25068366,25067360,24630686,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,06,12
2023-06-12,Intragovernmental Holdings,null,6857918,6853789,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,12
2023-06-12,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,12
2023-06-12,Debt Not Subject to Limit,Unamortized Discount (-),77174,78878,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,12
2023-06-12,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,12
2023-06-12,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,12
2023-06-12,Statutory Debt Limit,null,0,0,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,12
2023-06-09,Debt Held by the Public,null,25067360,25067557,24630686,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,06,09
2023-06-09,Intragovernmental Holdings,null,6853789,6853701,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,09
2023-06-09,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,09
2023-06-09,Debt Not Subject to Limit,Unamortized Discount (-),78878,79446,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,09
2023-06-09,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,09
2023-06-09,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,09
2023-06-09,Statutory Debt Limit,null,0,0,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,09
