category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Federal Employee Salaries,53753.0,53343.0,53351.0,53394.0,54300.0,57071.0,60411.0,60012.0,66329.0,68413.0,72383.0,75269.0,79166.0
Civil Service Retirement & Disability,20217.0,20872.0,21429.0,21504.0,21594.0,22631.0,23447.0,23897.0,24028.0,25493.0,27981.0,28554.0,28848.0
