category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Veterans Affairs Benefits,18792.0,20871.0,22901.0,24391.0,25995.0,28214.0,31033.0,40074.0,41730.0,46339.0,53284.0,61109.0,68669.0
DOD Military Active Duty Pay,23609.0,23545.0,22472.0,22618.0,22791.0,23741.0,24580.0,25241.0,26356.0,30229.0,27956.0,29666.0,31164.0
DOD Military Retirement,16208.0,16554.0,16970.0,17047.0,17176.0,17868.0,18419.0,18768.0,19027.0,20341.0,22275.0,23252.0,23930.0
